M1_Polarization	M2_Polarization
Tnf	Arg1
Il6	Arg2
Cd86	Il10
Il1b	Cd163
Marco	Cd200r1
Nos2	Pdcd1lg2
Cd80	Cd274
Cxcl10	Marco
Cd86	Csf1r
Il1a	Il1rn
Il1b	Il1r2
Il6	Il4ra
Tnf	Ccl4
Ccl5	Ccl2
Irf5	Ccl20
Irf1	Ccl17
Cd40	Ccl22
Ido1	Ccl24
Kynu	Lyve1
Ccr7	Vegfa
	Vegfb
	Vegfc
	Egf
	Ctsa
	Ctsb
	Ctsd
	Tgfb1
	Tgfb2
	Tgfb3
	Mmp14
	Mmp19
	Mmp9
	Clec7a
	Wnt7b
	Tnfsf12
	Tnfsf8
	Cd276
	Vtcn1
	Msr1
	Fn1
	Irf4
